	14
1659	1
a	48
able	1
about	1
above	3
accepted	1
account	1
accused	1
after	2
again	1
againe	1
against	13
ages	4
aldersgate	1
all	50
alone	5
already	1
also	1
alwaies	1
am	3
among	4
an	9
and	375
annointing	1
anointing	1
another	20
anothers	1
answer	2
answering	1
antichrist	2
antichrists	1
any	12
apostles	2
appearance	1
appeared	4
are	19
arguments	2
arisen	1
arose	1
as	25
at	7
attempted	1
authorities	1
authority	13
babylons	1
be	51
beast	11
beasts	2
been	44
before	6
begged	1
beging	1
being	3
belongs	1
besides	1
better	1
beyond	1
blessed	1
blind	2
body	1
bond	1
born	2
borne	1
both	2
bow	2
breadth	1
break	1
bring	1
brings	1
broken	1
brought	4
bull	1
burrough	1
but	40
bvrrovgh	1
by	51
c	1
call	3
called	1
can	8
cann	1
cannot	5
carried	2
carryed	1
cast	1
cause	1
caused	1
change	3
changeable	2
changed	5
changes	1
charge	1
chief	1
chiefly	1
children	1
christ	4
christs	3
church	4
churches	6
circumcised	1
come	5
comes	1
cometh	1
committed	3
compel	2
compelled	2
compelling	1
concerning	1
confound	2
confounded	1
confusion	2
conscience	3
consciences	2
constrain	1
contrary	2
could	1
countenance	1
country	2
course	2
craving	2
created	1
creature	1
cry	4
cryed	1
crying	1
cup	1
darknesse	1
dash	1
daughters	1
day	4
dealing	2
death	1
debate	1
declared	1
defence	2
defend	3
defended	3
defending	1
desire	2
desireing	1
despised	1
devided	1
did	1
discented	2
discenting	1
divers	4
diverse	1
do	2
doctrine	2
doe	5
doers	2
doing	3
dominion	1
done	4
doth	4
doting	1
down	9
drawn	1
driven	1
drunk	1
dwell	1
dwels	2
each	6
eare	1
earth	20
earthly	5
edward	2
effect	1
eighth	1
either	1
end	2
enemy	1
england	1
enough	2
envy	1
ere	2
establish	10
established	32
establishing	5
establishment	5
estates	4
even	1
ever	4
everlasting	1
every	6
evil	2
evill	1
exalt	2
exalting	1
exercise	3
exercised	1
extend	1
extends	1
external	4
externall	1
eyed	1
faithful	1
fall	1
false	17
far	1
father	2
feare	1
feel	2
first	4
fled	1
fools	1
for	41
force	1
forceable	1
forced	1
fornication	1
forth	2
free	1
friend	2
from	29
fulfilled	1
fulfilling	1
full	1
gathering	1
gave	1
generations	3
get	2
gets	1
given	1
gives	1
god	27
gods	1
gone	1
good	1
gospell	1
gotten	1
goverment	1
govern	2
governor	1
governour	1
grace	1
great	5
ground	1
had	7
hand	1
hated	1
hath	60
have	54
he	10
head	1
heads	2
heare	1
heart	3
hearts	2
heaven	1
height	1
help	1
henry	1
her	9
here	2
hereby	2
herein	1
heresie	2
highest	1
him	10
himselfe	1
his	22
holy	2
horn	2
horns	3
how	7
i	23
if	8
ignorant	1
image	1
in	84
incorruptable	1
indeavours	1
injury	1
into	4
is	56
it	53
its	9
jesus	1
journeyed	1
keep	1
kept	3
killed	1
kindled	1
king	4
kingdome	1
kings	2
kisse	1
know	1
knowledge	2
known	1
late	2
law	3
lawes	13
laws	11
leading	2
leads	1
learned	1
learning	2
least	1
led	1
left	1
length	1
let	19
liberty	4
lie	1
life	1
light	2
like	1
limit	8
limited	4
lives	1
living	2
london	1
long	3
looke	1
lord	18
lordship	1
lost	1
love	4
loved	1
loving	1
made	4
magistrates	3
main	1
make	5
makes	3
making	1
malice	3
man	10
manie	1
manifest	2
mans	1
many	19
mary	1
matter	1
may	8
me	1
meanes	2
means	3
measure	1
meddle	1
men	16
mens	4
might	2
mindes	1
minds	1
ministers	3
ministery	2
ministry	9
more	6
most	3
mouth	1
moves	1
multitudes	1
must	9
nation	15
nations	17
nature	1
near	1
nebuchadnezzar	1
neighbour	2
neither	1
never	6
new	4
next	1
no	12
nor	12
not	34
nothing	1
notwithstanding	1
nought	2
now	8
of	137
off	1
offence	3
oh	2
on	3
one	30
onely	9
only	4
operation	2
opposition	1
oppression	1
or	35
ordained	1
other	14
others	12
otherwise	1
ought	1
out	7
outward	14
over	4
overcome	2
overcomes	2
overcometh	2
overthrow	1
overthrown	1
own	8
papist	2
papists	4
parliaments	5
particular	1
particularly	2
passe	2
past	1
patience	1
paul	1
peace	1
people	23
peoples	7
perfect	1
persecuted	3
persecuting	1
person	2
persons	6
pieces	1
place	3
planted	2
pollutions	1
pounds	1
power	26
powers	19
practices	1
praise	1
preached	1
preaching	6
preserve	1
prevail	2
prevailed	4
priests	6
prince	1
princes	1
printed	1
professors	4
prophets	3
protestant	3
protestants	2
proved	1
punished	1
punishers	1
pushing	1
put	2
queen	4
query	1
quiet	2
ran	1
receive	1
received	2
religion	89
religions	3
religious	9
religon	1
remains	1
remember	1
renew	1
request	1
requiring	1
reside	1
rest	7
right	1
righteous	1
righteously	1
righteousness	2
righteousnesse	1
risen	9
rock	1
rose	1
rule	2
ruled	1
ruler	5
rulers	10
said	4
saints	1
sake	1
same	3
satans	1
save	1
say	6
saying	1
sect	26
sects	19
security	1
seed	2
seeing	1
seek	1
seekes	1
seemes	1
self	2
selfe	5
sent	3
set	7
setle	2
setled	23
setlement	2
setling	2
settle	11
settlement	4
settles	1
shall	6
shame	1
shames	1
she	5
shew	2
shewed	2
shews	1
short	1
should	3
side	1
sight	3
silent	1
simmons	1
simply	2
sin	1
since	2
sincere	1
sincericy	1
sincerity	1
sits	1
slain	1
small	1
so	12
some	4
son	1
sought	3
speak	4
speakes	1
speaking	1
spirit	17
spiritual	1
split	1
sprung	1
stain	1
statans	1
still	2
stones	1
stop	1
stopped	1
stopping	2
stopt	1
strife	1
strive	1
striving	1
stronger	2
subdued	1
subduing	2
successe	1
such	11
suppose	1
taught	1
teach	2
teachers	2
teaching	2
tell	1
terror	1
testimony	2
than	1
that	95
the	248
their	25
theirs	1
them	31
themselves	1
then	15
there	2
thereby	7
therefore	3
therein	7
thereof	1
thereunto	1
these	5
they	39
thing	3
things	5
this	46
thomas	1
though	6
thoughts	1
thousand	1
thousands	1
thriven	1
through	10
throughout	1
throw	3
thrown	5
thus	7
time	1
to	123
together	1
tolerated	1
tollerate	1
tollerated	2
tollerating	1
towards	9
true	38
truly	1
truth	7
tryal	1
turned	2
turneth	1
turning	1
tyranny	1
unconverted	1
under	5
unrighteous	2
unsetled	4
unspotted	1
unto	2
up	7
upheld	2
upholds	2
upon	8
upright	1
uprightnesse	1
us	2
use	1
vain	1
vaine	1
victory	1
vine	1
violence	3
violent	3
visitation	1
void	2
waies	1
wait	1
walking	1
wants	1
ward	1
was	12
waters	7
wax	2
way	13
we	1
weaker	2
weapons	1
well	1
were	8
what	12
whatsoever	3
when	6
where	1
whereby	2
wherefore	1
wheresoever	1
whereupon	1
whether	1
which	15
while	1
whilst	1
whither	1
who	6
whole	1
whom	4
whomsoever	1
whore	5
whores	1
wicked	2
wickedness	1
